prior_strength,val_mae,val_p95
0.0,58.338457369565226,112.87491674999998
1.0,58.34195796844291,112.86336264369658
2.0,58.34500600211166,112.85457805096198
5.0,58.35184029684599,112.29182387499999
10.0,58.35739083354568,111.32075169444444
15.0,58.35799402292415,110.54389395
20.0,58.35540433959118,109.9082830681818
30.0,58.344706984228445,108.93042017307691
50.0,58.34530526807884,107.66495054411764
75.0,58.34253963505499,106.73022865909091
100.0,58.336146789736965,106.1417000648148
150.0,58.37261373777482,105.44182822297297
200.0,58.40833749837047,105.03977418617019
